prompt_len,code_len,ast_nodes,avg_complexity,mean_logprob,confidence,failed
440,797,0,0.0,-0.09075601500418501,0.477326556888934,1
338,694,33,1.0,-0.18429985745852412,0.4540550110393649,1
809,1248,0,0.0,-0.13563020161606548,0.46614433316311993,1
400,748,0,0.0,-0.08438698059186553,0.47891576538900926,1
676,1140,0,0.0,-0.25856496045513566,0.43571650536629286,1
396,923,0,0.0,-0.3648726082436724,0.4097805587434811,1
1265,1812,0,0.0,-0.2628930167264727,0.4346526740608607,1
673,1169,0,0.0,-0.2153188706031699,0.4463772947301279,1
499,910,94,3.0,-0.17347832436007593,0.45673885889038124,0
598,969,81,4.0,-0.23409240396669537,0.44174269441864633,0
590,868,0,0.0,-0.1652193446583622,0.45878886771870336,1
236,800,54,4.0,-0.14477928269748475,0.4638682705090107,0
1050,1534,0,0.0,-0.21722576157102447,0.44590610337535025,1
462,773,0,0.0,-0.0727052939935966,0.4818316790324832,1
702,1066,0,0.0,-0.1924666100104667,0.45203133301720666,1
571,1008,0,0.0,-0.13385389555011767,0.46658640013542063,1
641,1012,12,1.0,-0.36115581318512113,0.4106798049843681,0
613,994,125,1.0,-0.10592270480477349,0.47354405464446386,1
267,570,0,0.0,-0.17227134929083832,0.4570383593741631,1
382,770,71,4.0,-0.15285836458494373,0.46185964455962153,0
843,1138,0,0.0,-0.12370624952480307,0.46911281706394303,1
851,1197,47,1.0,-0.25538147494693675,0.4364993809615603,0
490,972,0,0.0,-0.16409351169048136,0.4590684268350288,1
576,966,0,0.0,-0.1594860376372882,0.46021278980769614,1
926,1108,67,1.0,-0.16097562232828228,0.45984277367837467,0
387,858,0,0.0,-0.09764377574837901,0.47560843270818076,1
1360,1776,0,0.0,-0.2723734344194355,0.43232451338893585,1
672,1190,0,0.0,-0.4049661649767131,0.40011975232402397,1
213,748,0,0.0,-0.16628064789658104,0.45852535593146543,1
472,613,0,0.0,-0.2268779451435039,0.4435225642244567,1
467,725,0,0.0,-0.0981678949314022,0.47547771641045655,1
520,689,0,0.0,-0.2498780638912239,0.4378535119739952,1
361,790,75,3.0,-0.1683048165750307,0.4580228379865145,0
465,861,0,0.0,-0.07754815736522697,0.4806226704997167,1
454,818,0,0.0,-0.09693313204017073,0.4757856739035745,1
264,711,0,0.0,-0.143878771698837,0.4640922299117116,1
325,463,0,0.0,-0.14814669723105744,0.46303091571425803,1
392,844,0,0.0,-0.1001371649950499,0.4749866069749925,1
805,969,0,0.0,-0.18374472593972366,0.4541926255750156,1
609,762,0,0.0,-0.3046462101323826,0.4244220732567149,1
636,1136,99,3.0,-0.08925644251296116,0.47770069175463364,0
586,1094,87,1.0,-0.1535365343311772,0.461691093013735,0
414,865,0,0.0,-0.19302161656071792,0.4518938621092441,1
360,716,0,0.0,-0.14724316394927967,0.4632555716526994,1
476,929,85,5.0,-0.1850338569041412,0.45387306675221045,0
775,1267,0,0.0,-0.3496653416649651,0.4134635772088776,1
776,778,6,1.0,-0.11528679650792739,0.4712101810443592,0
