prompt_len,code_len,ast_nodes,avg_complexity,mean_logprob,confidence,failed
42,1665,0,0.0,-0.2525824397590239,0.7767921716401375,1
61,876,0,0.0,-0.32519188898403245,0.7223887219036232,1
96,132,12,1.0,-0.27912975447387517,0.7564417451463021,0
96,3796,328,1.0,-0.16172035644289992,0.8506790581993467,0
93,113,0,0.0,-0.2863114264791707,0.7510286893028354,1
220,168,40,2.0,-0.2200526371269364,0.802476556790378,0
119,789,199,1.0,-0.09266249882024558,0.911501081078994,0
89,151,30,3.0,-0.23578591540283994,0.7899497719102168,0
274,233,16,1.0,-0.24769509397036368,0.7805979160078429,0
220,168,40,2.0,-0.2200526371269364,0.802476556790378,0
60,1117,0,0.0,-0.21524651452127697,0.8063426405048213,1
149,526,60,2.0,-0.21887921308251024,0.8034187547679736,0
115,1870,0,0.0,-0.13510205730562488,0.8736267471462298,1
147,643,151,3.0,-0.09192868383849712,0.9121701997027791,0
216,3369,0,0.0,-0.15419341902505027,0.8571062243275839,1
162,781,0,0.0,-0.3018782211901668,0.7394281060815818,1
77,1359,0,0.0,-0.2368787276824849,0.7890869766216789,1
214,260,53,1.0,-0.1249396636968857,0.882550150791591,0
84,846,0,0.0,-0.23660392613968972,0.7893038487372853,1
99,3830,0,0.0,-0.12812833435922857,0.8797404709701703,1
54,732,0,0.0,-0.32479059611516575,0.7226786695193372,1
58,3726,0,0.0,-0.20863637041544042,0.8116903366063306,1
65,1963,0,0.0,-0.1598734606681133,0.8522516254945758,1
52,2684,0,0.0,-0.20954931089927178,0.8109496497906424,1
57,1586,0,0.0,-0.12296623534390733,0.8842935199233415,1
62,704,0,0.0,-0.23142508545732832,0.7934021306345898,1
89,1172,0,0.0,-0.21728433724716084,0.8047011302686446,1
144,1226,0,0.0,-0.41699280746437445,0.6590256599926119,1
522,1774,0,0.0,-0.15766480328798108,0.8541360375812456,1
114,670,109,3.0,-0.08227327130648447,0.9210202359004434,0
167,1818,0,0.0,-0.18784042597948114,0.8287469431634038,1
90,1154,0,0.0,-0.49805131269640424,0.6077137506712347,1
20,953,0,0.0,-0.21671246671165798,0.8051614467431004,1
26,1096,0,0.0,-0.1985996679126949,0.8198780511340403,1
163,1657,0,0.0,-0.23254796473973022,0.7925117358159893,1
134,1325,0,0.0,-0.2880119422655116,0.7497526384405008,1
155,100,13,1.0,-0.26775211431374374,0.7650974142958115,0
194,953,0,0.0,-0.3942666981740863,0.6741742312255247,1
271,1565,0,0.0,-0.2771400284838976,0.7579483553201766,1
268,1090,0,0.0,-0.23400983492886407,0.7913540329466913,1
55,209,10,1.0,-0.21436486512895642,0.8070538654832896,0
271,3416,0,0.0,-0.1433984243182507,0.8664088017824727,1
186,1295,0,0.0,-0.15623251090909554,0.8553602866504187,1
200,1502,0,0.0,-0.21308108088251262,0.8080906138600565,1
193,168,44,3.0,-0.26991096215842053,0.7634474670253608,0
302,438,45,2.0,-0.2587635497818218,0.7720055423434109,0
267,81,15,1.0,-0.24569166192945668,0.7821633584890442,0
93,113,0,0.0,-0.2863114264791707,0.7510286893028354,1
77,143,37,3.0,-0.09875115490153209,0.9059681257027923,0
141,325,0,0.0,-0.19505041483042157,0.8227931760319309,1
486,1644,0,0.0,-0.12283051144835154,0.8844135478298234,1
509,853,0,0.0,-0.02975897958180935,0.9706794589260991,1
514,766,59,1.0,-0.02569822682920131,0.9746291621675336,0
332,1116,0,0.0,-0.14089237339575844,0.8685827892833533,1
24,1355,0,0.0,-0.19072932203060092,0.8263562343092875,1
97,1201,0,0.0,-0.22264750486641485,0.8003969355993438,1
75,113,30,2.0,-0.1348817714045286,0.8738192159997559,0
23,1708,0,0.0,-0.4412684856385225,0.6432199880585691,1
25,1472,0,0.0,-0.4393165654048089,0.6444767282973256,1
30,3684,0,0.0,-0.24989341243012184,0.7788837979783917,1
29,91,5,1.0,-0.29219199986408056,0.7466251702794879,0
53,797,0,0.0,-0.24680981152445142,0.7812892716175401,1
42,1265,0,0.0,-0.1697653139402602,0.8438628362032435,1
90,839,0,0.0,-0.5416033142027572,0.5818146724353037,1
196,928,0,0.0,-0.37258260201597865,0.6889527403221573,1
30,123,22,2.0,-0.1692141562874868,0.8443280658589735,0
163,3983,0,0.0,-0.17530264589881484,0.839203000985602,1
127,3794,0,0.0,-0.2023131233626562,0.8168391164831523,1
89,1364,0,0.0,-0.38528931177259584,0.6802538022994192,1
170,1893,0,0.0,-0.30214241080123067,0.7392327826601719,1
104,279,0,0.0,-0.27620628031715155,0.7586564187324557,1
107,1727,0,0.0,-0.14846351335757135,0.8620314592303204,1
107,2949,0,0.0,-0.1245386389547226,0.8829041462139755,1
107,114,27,1.0,-0.09318434565150147,0.911025541218423,0
107,2811,0,0.0,-0.19572262976626773,0.8222402680272197,1
48,27,8,1.0,-0.27156496538955255,0.7621857661643907,0
182,681,0,0.0,-0.0933603988830494,0.9108651663455404,1
68,1393,0,0.0,-0.17634796036342495,0.8383262282813586,1
187,1036,0,0.0,-0.28926238007080407,0.7488157053071645,1
32,106,19,1.0,-0.09610859174371171,0.9083653697332876,0
48,328,44,1.0,-0.2208955646755089,0.8018004122040601,0
438,2210,0,0.0,-0.23331430211582418,0.7919046371027689,1
75,113,30,2.0,-0.1348817714045286,0.8738192159997559,0
204,1048,0,0.0,-0.3932104375361583,0.6748867111450787,1
41,623,0,0.0,-0.30036574573260266,0.7405473191224338,1
93,93,27,1.0,-0.13687578044545232,0.8720785486129243,0
181,926,0,0.0,-0.21346799539744066,0.8077780123511074,1
255,2688,0,0.0,-0.15880028934040422,0.8531667284463481,1
134,251,36,1.0,-0.24940056554629184,0.7792677630413113,0
254,1115,0,0.0,-0.20823300980793816,0.8120178065534064,1
106,1400,0,0.0,-0.22177795207874335,0.8010932256725516,1
112,177,7,1.0,-0.2110246819420886,0.8097540803313071,0
264,3459,0,0.0,-0.18141748254148368,0.8340870692089861,1
200,1854,0,0.0,-0.2038930571557177,0.8155495837159674,1
215,200,31,3.0,-0.14038492861574525,0.8690236589348258,0
437,1553,0,0.0,-0.1957019569740271,0.8222572662051518,1
323,307,0,0.0,-0.2185715935545162,0.8036659400836628,1
206,1199,0,0.0,-0.3320951132822151,0.7174190835255037,1
74,99,18,2.0,-0.150532160577886,0.8602500634233627,0
25,1472,0,0.0,-0.4393165654048089,0.6444767282973256,1
30,3684,0,0.0,-0.24989341243012184,0.7788837979783917,1
179,1013,0,0.0,-0.2560093227450608,0.7741347516976741,1
201,2644,0,0.0,-0.21648538399258668,0.8053443057549933,1
58,1662,0,0.0,-0.21585023313001672,0.8058559833644953,1
55,1774,0,0.0,-0.3088716811191689,0.7342749853256725,1
85,839,0,0.0,-0.226357777196836,0.7974327473690691,1
311,2596,0,0.0,-0.12458382403133288,0.8828642530237846,1
123,963,0,0.0,-0.17795828258930277,0.836977339287872,1
80,820,61,2.0,-0.35866710291933823,0.6986068768357276,0
141,505,0,0.0,-0.4190386866000799,0.6576787514208149,1
77,112,9,1.0,-0.3720028744260512,0.689352261029277,0
374,1279,0,0.0,-0.19478711198386497,0.8230098483412736,1
